,inet6num,name,inetnum,primary-key
525,,Bundesanstalt fuer Arbeit Arbeitsamt Lohr||,195.243.246.88 - 195.243.246.95,2001400
526,,Bundesanstalt fuer Arbeitsamt Illingen||,212.184.170.224 - 212.184.170.231,1983265
528,,Bundesanstalt fuer Arbeit Arbeitsamt Hermannsburg||,217.6.138.216 - 217.6.138.223,2013757
529,,Bundesanstalt fuer Arbeit Arbeitsamt Ludwigsstadt||,195.243.248.40 - 195.243.248.47,1960082
531,,Bundesanstalt fuer Arbeit Arbeitsamt Burbach||,212.185.206.136 - 212.185.206.143,2017105
532,,Bundesanstalt fuer Arbeit Arbeitsamt Starnberg||,62.159.114.56 - 62.159.114.63,1999946
533,,Bundesanstalt fuer Arbeit Arbeitsamt Ochsenfurt||,195.243.246.96 - 195.243.246.103,2001401
535,,Bundesanstalt fuer Arbeit Arbeitsamt Stadtroda||,195.243.189.16 - 195.243.189.23,2072039
541,,Bundesanstalt fuer Arbeit Arbeitsamt Bruehl||,195.243.246.104 - 195.243.246.111,2001410
542,,Bundesanstalt fuer Arbeit Arbeitsamt Walsrode||,217.6.138.200 - 217.6.138.207,2013754
546,,Bundesanstalt fuer Arbeit Arbeitsamt Brand-Erbisdorf||,217.237.169.240 - 217.237.169.247,2083527
547,,Bundesanstalt fuer Arbeit Arbeitsamt Bad Harzburg||,217.237.169.216 - 217.237.169.223,2086613
551,,"Bundesamt fuer Kartographie und Geodaesie|Forschungseinrichtung des Bundes|Geodaesie, Kartographie, Photogrammetrie|Frankfurt/Main||",193.174.164.0 - 193.174.166.255,2882833
554,,Bundesarbeitsgericht|99084 Erfurt||BUNDESARBEITSGERICHT|,195.243.220.192 - 195.243.220.207,294344
556,,"Bundesministerium fuer Ernaehrung, Landwirtschaft und Forsten|Scharrenstrasse 2-3|10178 Berlin|Remote connection to SAP||",195.112.182.143 - 195.112.182.143,280275
559,,BUNDESTAG|ORG-DB45-RIPE|,193.17.232.0 - 193.17.247.255,257465
562,,Physikalisch-Technische Bundesanstalt|Institut Berlin|PTB-laboratory at BESSY||,193.175.254.0 - 193.175.254.255,244823
563,,LAN located in Berlin Charlottenburg|Physikalisch-Technische Bundesanstalt|Institut Berlin||,194.94.88.0 - 194.94.95.255,243460
566,,Statistisches Bundesamt|Wiesbaden||,194.95.119.0 - 194.95.119.255,243401
567,,Universitaet der Bundeswehr Hamburg|Holstenhofweg 85|D-22043 Hamburg||,139.11.0.0 - 139.11.255.255,257952
569,,Bundesanstalt fuer Arbeit Arbeitsamt Vechta||,212.185.161.192 - 212.185.161.199,1794465
570,,Bundesanstalt fuer Arbeit Arbeitsamt Leinefelde||,217.5.228.200 - 217.5.228.207,1803664
571,,Bundesanstalt fuer Arbeit Arbeitsamt Emden||,212.184.121.216 - 212.184.121.223,1796155
572,,Bundesanstalt fuer Arbeit Arbeitsamt Suhl||,217.5.228.176 - 217.5.228.183,1791281
573,,Bundesanstalt fuer Arbeit Arbeitsamt Pinneberg||,217.5.203.208 - 217.5.203.215,1794527
574,,Bundesanstalt fuer Arbeit Arbeitsamt Annaberg-Buchholz||,80.146.245.40 - 80.146.245.47,1782792
575,,Bundesanstalt fuer Arbeit Arbeitsamt Gotha||,217.5.228.184 - 217.5.228.191,1791286
576,,Bundesanstalt fuer Arbeit Arbeitsamt Bad Salzungen||,217.5.228.168 - 217.5.228.175,1791274
577,,Bundesanstalt fuer Arbeit Arbeitsamt Mainz||,62.153.208.152 - 62.153.208.159,1803682
579,,Bundesanstalt fuer Arbeit Arbeitsamt Landau||,62.153.140.208 - 62.153.140.215,1803676
582,,Bundesanstalt fuer Arbeit Arbeitsamt Muehlhausen||,217.5.228.152 - 217.5.228.159,1791269
585,,Bundesanstalt fuer Arbeit Arbeitsamt Boeblingen||,62.154.199.8 - 62.154.199.15,1803654
587,,Bundesanstalt fuer Arbeit Arbeitsamt Pirmasens||,80.156.10.128 - 80.156.10.135,1803652
588,,Bundesanstalt fuer Arbeit Arbeitsamt Neuwied||,62.154.154.112 - 62.154.154.119,1828963
590,,Bundesanstalt fuer Arbeit Arbeitsamt Ahlen||,212.184.247.152 - 212.184.247.159,1792072
591,,Bundesanstalt fuer Arbeit Arbeitsamt Nordhausen||,217.5.228.56 - 217.5.228.63,1795213
592,,Bundesanstalt fuer Arbeit Arbeitsamt Herrenberg||,212.185.170.64 - 212.185.170.71,2270011
597,,"Bundesministerium fuer Bildung, Wissenschaft,|Forschung und Technologie, Bonn, Projekt profi||",195.37.100.0 - 195.37.101.255,177239
601,,Bundeswehr Systeminstandsetzungszentrum 890|03253 Doberlug-Kirchhain|Remote connection to SAP||,195.112.168.24 - 195.112.168.27,199407
602,,Physikalisch-Technische Bundesanstalt|Braunschweig||,194.95.250.32 - 194.95.250.47,166436
604,,"Bundesaufsichtsamt fuer den Wertpapierhandel|Frankfurt, Germany||",195.35.32.48 - 195.35.32.63,193939
605,,Bundeswehr Systeminstandsetzungszentrum 860|66606 St.Wendel|Remote connection to SAP||,195.112.190.52 - 195.112.190.52,199264
606,,"Bundeswehr Systeminstandsetzungszentrum 800|Wilhelm-Johnen-Strasse 1, 52428 Juelich|Remote connection to SAP||",195.112.179.5 - 195.112.179.5,203077
607,,"Bundesamt fuer Wehrverwaltung, Bonn|Remote connection to SAP||",195.112.190.33 - 195.112.190.33,198593
608,,Bundeswehr Systeminstandsetzungszentrum 860|66606 St.Wendel|Remote connection to SAP||,195.112.168.44 - 195.112.168.47,199408
611,,Bundeswehr Systeminstandsetzungszentrum 890|03253 Doberlug-Kirchhain|Remote connection to SAP||,195.112.178.232 - 195.112.178.232,199406
612,,Bundeswehr Systeminstandsetzungszentrum 870|76887 Bad Bergzabern|Remote connection to SAP||,195.112.168.108 - 195.112.168.111,200216
621,,Bundesdruckerei GmbH|TOranienstrasse 91|10969 Berlin 11|Remote connection to SAP||,195.112.180.119 - 195.112.180.119,226624
625,,"Bundeswehr Systeminstandsetzungszentrum 800|Wilhelm-Johnen-Strasse 1, 52428 Juelich|Remote connection to SAP||",195.112.169.4 - 195.112.169.7,203129
631,,Bundesanstalt fuer Arbeit Arbeitsamt Burg||,195.243.251.200 - 195.243.251.207,2383915
632,,Bundesanstalt fuer Arbeit Arbeitsamt Loebau||,212.185.113.208 - 212.185.113.215,2399798
634,,Bundesanstalt fuer Arbeit Arbeitsamt Vaihingen||,212.185.54.184 - 212.185.54.191,2376790
635,,Bundesanstalt fuer Arbeit Arbeitsamt Goerlitz||,217.6.87.72 - 217.6.87.79,2358963
636,,Bundesanstalt fuer Arbeit Arbeitsamt Konstanz||,212.184.205.208 - 212.184.205.215,2368233
637,,Bundesanstalt fuer Arbeit Arbeitsamt Haldensleben||,195.243.251.176 - 195.243.251.183,2383911
641,,Bundesinstitut fuer Arzneimittel und Medizinprodukte|Fachgebiet IT|Kurt-Georg-Kiesinger-Allee 3|53175 Bonn|GERMANY||,192.124.251.0 - 192.124.251.255,243443
642,,"Physikalisch-Technische Bundesanstalt Berlin, IB.TI|10587 Berlin||",192.129.51.0 - 192.129.51.255,254581
645,,Bundesanstalt fuer Geowissenschaften und Rohstoffe|Hannover||,193.174.160.0 - 193.174.163.255,406967
646,,Bundesanstalt fuer Strassenwesen|Forschungsanstalt des Bundesministers fuer Verkehr BMV Bonn||,194.94.64.0 - 194.94.67.255,405680
649,,Bundesanstalt fuer Arbeit Arbeitsamt Brandenburg||,217.6.138.160 - 217.6.138.167,1785730
652,,Bundesanstalt fuer Arbeit Arbeitsamt Kiel||,212.185.49.240 - 212.185.49.247,1794516
654,,Bundesanstalt fuer Arbeit Arbeitsamt Offenbach||,217.5.219.56 - 217.5.219.63,1792085
657,,Bundesanstalt fuer Arbeit Arbeitsamt Jena||,217.5.228.160 - 217.5.228.167,1791273
658,,Bundesanstalt fuer Gewaesserkunde|Koblenz||,193.175.192.0 - 193.175.192.255,406962
660,,"Bundeswehrfachschule Hamburg|Osdorfer Landstrasse, 22589 Hamburg|Remote connection to SAP||",194.117.126.80 - 194.117.126.80,432401
663,,Bundesanstalt Technisches Hilfswerk|Deutschherrenstr. 93-95|D-53177 Bonn|Germany||,213.70.9.88 - 213.70.9.95,3544571
667,,Kraftfahrt-Bundesamt|Flensburg||,195.37.186.176 - 195.37.186.191,3880691
669,,Bundesanstalt fuer Arbeit Arbeitsamt Biedenkopf||,217.243.190.224 - 217.243.190.231,2310496
670,,"Bundesgerichtshof|Herrenstrasse 45a, 76133 Karlsruhe|Remote connection to SAP||",217.77.240.172 - 217.77.240.172,2329748
672,,Bundesanstalt fuer Arbeit Arbeitsamt Gunzenhausen||,217.7.154.160 - 217.7.154.167,2319370
673,,Bundesanstalt fuer Arbeit Arbeitsamt Dillenburg||,217.243.190.184 - 217.243.190.191,2309887
674,,Bundesanstalt fuer Arbeit Arbeitsamt Ahaus||,217.237.164.200 - 217.237.164.207,2319356
675,,Bundesanstalt fuer Arbeit Arbeitsamt Muellheim||,212.185.166.168 - 212.185.166.175,2332194
676,,Bundesanstalt fuer Arbeit Arbeitsamt Arnstadt||,195.243.248.168 - 195.243.248.175,2358740
679,,Bundesanstalt fuer Arbeit Arbeitsamt Bad Duerkheim||,62.153.139.112 - 62.153.139.119,2319365
